City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kabare,CD,61.61,overcast clouds,-2.4683,28.8242,Hôtel Panorama
1,Namatanai,PG,83.86,light rain,-3.6667,152.4333,Seagulls Inn Namatani
2,Avarua,CK,75.25,light rain,-21.2078,-159.775,Paradise Inn
3,Rikitea,PF,78.91,clear sky,-23.1203,-134.9692,People ThankYou
4,Victoria,HK,68.97,scattered clouds,22.2855,114.1577,Mini Hotel Central
7,Mitsamiouli,KM,81.0,light rain,-11.3847,43.2844,Foyer ADM
8,Hobart,AU,72.01,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
13,Sorong,ID,80.37,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
14,Vaini,TO,80.04,overcast clouds,-21.2,-175.2,Keleti Beach Resort
15,Butaritari,KI,81.28,light rain,3.0707,172.7902,Isles Sunset Lodge
16,Katobu,ID,80.28,broken clouds,-4.9408,122.5276,La Ode Husein
18,Daud Khel,PK,64.63,overcast clouds,32.875,71.5701,MLCFL CFPP Hostel 6
20,Muros,ES,53.83,light rain,42.7762,-9.0603,Apartment Av. Castelao
21,Port Lincoln,AU,72.68,few clouds,-34.7333,135.8667,Port Lincoln Hotel
22,Ponta Do Sol,PT,61.05,overcast clouds,32.6667,-17.1,Hotel do Campo
26,Ribeira Grande,PT,58.01,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
28,Acajutla,SV,82.74,clear sky,13.5928,-89.8275,Laureles
30,Port Elizabeth,ZA,66.94,light rain,-33.918,25.5701,39 On Nile Guest House
32,Omboue,GA,77.99,overcast clouds,-1.5746,9.2618,Hotel Olako
35,Kapaa,US,73.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
36,Puerto Ayora,EC,73.54,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
37,Mataura,NZ,63.48,overcast clouds,-46.1927,168.8643,Ellie's Villa
42,Caravelas,BR,73.92,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
