City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kabare,CD,-2.4683,28.8242,61.61,90,98,0.94,overcast clouds
1,Namatanai,PG,-3.6667,152.4333,83.86,74,58,7.74,light rain
2,Avarua,CK,-21.2078,-159.775,75.25,88,75,6.91,light rain
3,Rikitea,PF,-23.1203,-134.9692,78.91,71,1,14.12,clear sky
4,Victoria,HK,22.2855,114.1577,68.97,70,39,1.01,scattered clouds
5,Dikson,RU,73.5069,80.5464,-5.66,92,70,22.28,broken clouds
6,Bingol,TR,38.8847,40.4939,23.52,74,40,4.61,scattered clouds
7,Mitsamiouli,KM,-11.3847,43.2844,81.0,79,49,4.79,light rain
8,Hobart,AU,-42.8794,147.3294,72.01,65,75,9.22,broken clouds
9,Qaanaaq,GL,77.484,-69.3632,-7.62,67,77,7.67,broken clouds
10,Jamestown,US,42.097,-79.2353,13.32,78,20,0.0,few clouds
11,Montague,US,42.5356,-72.5351,26.49,65,100,1.99,overcast clouds
12,Barrow,US,71.2906,-156.7887,-29.18,100,0,9.22,clear sky
13,Sorong,ID,-0.8833,131.25,80.37,81,100,4.63,overcast clouds
14,Vaini,TO,-21.2,-175.2,80.04,70,93,15.77,overcast clouds
15,Butaritari,KI,3.0707,172.7902,81.28,77,67,12.15,light rain
16,Katobu,ID,-4.9408,122.5276,80.28,81,84,7.87,broken clouds
17,Karratha,AU,-20.7377,116.8463,99.59,33,63,6.35,broken clouds
18,Daud Khel,PK,32.875,71.5701,64.63,27,100,0.96,overcast clouds
19,El Coyote,MX,25.7,-103.2667,49.01,40,100,1.01,overcast clouds
20,Muros,ES,42.7762,-9.0603,53.83,94,18,17.45,light rain
21,Port Lincoln,AU,-34.7333,135.8667,72.68,67,15,11.74,few clouds
22,Ponta Do Sol,PT,32.6667,-17.1,61.05,73,95,1.01,overcast clouds
23,Abu Samrah,SY,35.3029,37.1841,45.72,84,0,8.55,clear sky
24,Tarko-Sale,RU,64.9225,77.785,-6.56,96,42,11.65,scattered clouds
25,Baijiantan,CN,45.6333,85.1833,19.38,83,100,5.03,overcast clouds
26,Ribeira Grande,PT,38.5167,-28.7,58.01,68,92,3.29,overcast clouds
27,Pevek,RU,69.7008,170.3133,-16.96,98,100,7.81,overcast clouds
28,Acajutla,SV,13.5928,-89.8275,82.74,59,0,8.32,clear sky
29,Nurota,UZ,40.5614,65.6886,35.69,78,93,12.66,overcast clouds
30,Port Elizabeth,ZA,-33.918,25.5701,66.94,81,97,13.18,light rain
31,Cherskiy,RU,68.75,161.3,-25.42,99,93,5.44,overcast clouds
32,Omboue,GA,-1.5746,9.2618,77.99,84,100,3.04,overcast clouds
33,Severo-Kurilsk,RU,50.6789,156.125,26.46,70,82,16.22,broken clouds
34,Svetlogorsk,BY,52.6333,29.7333,25.75,85,12,9.91,few clouds
35,Kapaa,US,22.0752,-159.319,73.38,68,40,12.66,scattered clouds
36,Puerto Ayora,EC,-0.7393,-90.3518,73.54,94,96,2.62,overcast clouds
37,Mataura,NZ,-46.1927,168.8643,63.48,45,100,5.88,overcast clouds
38,Ushuaia,AR,-54.8,-68.3,38.86,81,75,8.05,broken clouds
39,Sheboygan,US,43.7333,-87.9334,12.02,68,75,3.44,broken clouds
40,Gannan,CN,47.9147,123.5031,9.59,74,66,8.68,broken clouds
41,Andenes,NO,69.3143,16.1194,30.18,86,75,10.36,light snow
42,Caravelas,BR,-17.7125,-39.2481,73.92,94,71,3.67,broken clouds
43,Ilhabela,BR,-23.7781,-45.3581,74.14,89,21,3.87,few clouds
44,Clyde River,CA,70.4692,-68.5914,-12.77,77,100,29.93,light snow
45,Albany,US,42.6001,-73.9662,18.19,68,33,5.01,scattered clouds
46,Chokurdakh,RU,70.6333,147.9167,-9.13,99,81,9.04,broken clouds
47,Atuona,PF,-9.8,-139.0333,77.34,80,22,13.87,light rain
48,Kodiak,US,57.79,-152.4072,29.71,86,0,4.61,clear sky
49,Faanui,PF,-16.4833,-151.75,81.48,74,100,12.33,light rain
50,Hurghada,EG,27.2574,33.8129,56.86,75,2,17.52,clear sky
51,Kirakira,SB,-10.4544,161.9205,82.94,75,100,4.72,overcast clouds
52,Aykhal,RU,66.0,111.5,1.42,65,21,0.87,few clouds
53,Ibicarai,BR,-14.865,-39.5875,70.14,99,94,1.05,overcast clouds
54,Mar Del Plata,AR,-38.0023,-57.5575,60.87,77,0,1.99,clear sky
55,Brae,GB,60.3964,-1.353,40.91,87,100,31.76,overcast clouds
56,Mahebourg,MU,-20.4081,57.7,84.25,94,40,12.66,scattered clouds
57,Povenets,RU,62.8487,34.8262,32.65,95,100,11.39,light snow
58,Hamilton,US,39.1834,-84.5333,17.64,79,0,5.75,clear sky
59,Saint-Philippe,RE,-21.3585,55.7679,85.55,78,26,11.77,scattered clouds
60,Richards Bay,ZA,-28.783,32.0377,76.23,89,100,14.32,light rain
61,Adrar,MR,20.5022,-10.0711,57.81,28,98,10.67,overcast clouds
62,Pemba,MZ,-12.974,40.5178,77.83,87,67,11.56,moderate rain
63,Rio Novo,BR,-21.4575,-43.1253,67.1,96,8,1.16,clear sky
64,Hilo,US,19.7297,-155.09,71.26,85,100,3.44,moderate rain
65,Thompson,CA,55.7435,-97.8558,-24.59,99,68,4.18,broken clouds
66,Punta Arenas,CL,-53.15,-70.9167,44.11,56,62,8.25,broken clouds
67,Arraial Do Cabo,BR,-22.9661,-42.0278,75.0,93,7,14.43,clear sky
68,Aklavik,CA,68.2191,-135.0107,-22.11,97,100,11.41,overcast clouds
69,Tiksi,RU,71.6872,128.8694,-10.44,89,25,8.9,scattered clouds
70,Magadan,RU,59.5667,150.8,7.54,73,100,8.34,overcast clouds
71,Nikolskoye,RU,59.7035,30.7861,36.88,91,100,11.27,overcast clouds
72,San Rafael Del Sur,NI,11.8485,-86.4384,79.07,62,3,18.43,clear sky
73,Jamsa,FI,61.8642,25.19,36.32,98,100,9.4,overcast clouds
74,Kaeo,NZ,-35.1,173.7833,72.75,52,19,8.9,few clouds
75,Cape Town,ZA,-33.9258,18.4232,68.88,77,0,1.99,clear sky
76,Geraldton,AU,-28.7667,114.6,86.41,58,11,14.97,few clouds
77,Port Alfred,ZA,-33.5906,26.891,67.66,83,83,15.43,light rain
78,Vestmanna,FO,62.1564,-7.1664,32.92,60,100,9.22,overcast clouds
79,Ashqelon,IL,31.6693,34.5715,56.41,65,100,7.07,overcast clouds
80,Andra,RU,62.5147,65.8878,-2.47,96,100,2.39,overcast clouds
81,Ferrol,ES,43.4832,-8.2369,51.57,79,69,21.05,broken clouds
82,Provideniya,RU,64.3833,-173.3,-7.49,71,0,11.18,clear sky
83,Hithadhoo,MV,-0.6,73.0833,82.36,72,79,12.97,broken clouds
84,Yellowknife,CA,62.456,-114.3525,-24.59,91,79,1.99,broken clouds
85,Hofn,IS,64.2539,-15.2082,22.62,68,49,8.99,scattered clouds
86,Antalaha,MG,-14.9003,50.2788,78.42,79,56,3.49,broken clouds
87,Ndele,CF,8.4109,20.6473,66.51,16,90,3.91,overcast clouds
88,Tasiilaq,GL,65.6145,-37.6368,24.96,81,100,26.82,overcast clouds
89,Yuzhno-Kurilsk,RU,44.0306,145.8556,28.81,73,99,9.75,overcast clouds
