City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tasiilaq,GL,2022-02-13 14:49:13,65.6145,-37.6368,19.56,70,100,4.23
1,Sao Joao Da Barra,BR,2022-02-13 14:45:37,-21.6403,-41.0511,82.49,77,54,5.06
2,Cairns,AU,2022-02-13 14:48:52,-16.9167,145.7667,76.95,78,100,10.36
3,Bambous Virieux,MU,2022-02-13 14:49:25,-20.3428,57.7575,82.65,78,40,6.91
4,Saint-Philippe,RE,2022-02-13 14:49:26,-21.3585,55.7679,81.99,86,56,8.93
5,Yellowknife,CA,2022-02-13 14:49:26,62.456,-114.3525,-24.59,75,40,3.44
6,Severo-Kurilsk,RU,2022-02-13 14:49:26,50.6789,156.125,21.58,72,25,8.88
7,Orillia,CA,2022-02-13 14:48:00,44.6087,-79.4207,1.33,76,48,6.91
8,Chippenham,GB,2022-02-13 14:49:27,51.46,-2.1247,51.33,93,100,26.26
9,Rikitea,PF,2022-02-13 14:49:27,-23.1203,-134.9692,78.37,70,6,11.59
10,Sao Filipe,CV,2022-02-13 14:49:27,14.8961,-24.4956,77.18,54,25,15.61
11,Cape Town,ZA,2022-02-13 14:48:05,-33.9258,18.4232,77.88,62,20,28.77
12,Auki,SB,2022-02-13 14:49:28,-8.7676,160.7034,76.93,87,68,3.83
13,Clyde River,CA,2022-02-13 14:49:28,70.4692,-68.5914,-23.57,69,75,12.66
14,Bredasdorp,ZA,2022-02-13 14:49:29,-34.5322,20.0403,77.29,64,3,12.66
15,Ushuaia,AR,2022-02-13 14:49:29,-54.8,-68.3,55.06,44,40,31.07
16,Honiara,SB,2022-02-13 14:44:30,-9.4333,159.95,78.55,86,98,3.0
17,New Norfolk,AU,2022-02-13 14:47:57,-42.7826,147.0587,63.72,49,82,2.89
18,Victoria,HK,2022-02-13 14:46:00,22.2855,114.1577,63.25,86,100,11.99
19,Sitka,US,2022-02-13 14:49:29,57.0531,-135.33,35.49,80,75,4.61
20,Butaritari,KI,2022-02-13 14:49:30,3.0707,172.7902,82.42,70,94,11.16
21,Keti Bandar,PK,2022-02-13 14:49:30,24.1447,67.4497,71.29,56,0,10.0
22,Buala,SB,2022-02-13 14:49:30,-8.145,159.5921,79.34,80,93,2.26
23,Port Elizabeth,ZA,2022-02-13 14:49:31,-33.918,25.5701,71.89,83,100,18.41
24,Namatanai,PG,2022-02-13 14:49:31,-3.6667,152.4333,79.47,80,100,3.94
25,Khani,GE,2022-02-13 14:49:31,41.9563,42.9566,35.17,99,100,1.72
26,Kattivakkam,IN,2022-02-13 14:49:32,13.2167,80.3167,81.07,74,32,9.51
27,Albany,US,2022-02-13 14:44:40,42.6001,-73.9662,26.51,65,100,1.01
28,Husavik,IS,2022-02-13 14:49:32,66.0449,-17.3389,4.91,83,16,15.35
29,Karpathos,GR,2022-02-13 14:49:33,35.507,27.2132,58.96,67,40,24.16
30,Hobart,AU,2022-02-13 14:44:53,-42.8794,147.3294,64.06,70,63,5.75
31,Punta Arenas,CL,2022-02-13 14:49:33,-53.15,-70.9167,51.91,50,40,54.09
32,Jamestown,US,2022-02-13 14:49:33,42.097,-79.2353,17.53,61,100,4.61
33,Stende,LV,2022-02-13 14:49:34,57.15,22.5333,36.34,75,100,15.01
34,Macapa,BR,2022-02-13 14:45:45,0.0389,-51.0664,87.78,70,75,10.36
35,Maniitsoq,GL,2022-02-13 14:49:34,65.4167,-52.9,16.97,94,100,16.44
36,Hermanus,ZA,2022-02-13 14:49:34,-34.4187,19.2345,77.81,72,5,14.76
37,Strezhevoy,RU,2022-02-13 14:49:35,60.7333,77.5889,-5.03,95,85,9.19
38,Busselton,AU,2022-02-13 14:48:56,-33.65,115.3333,69.08,66,6,15.68
39,Mataura,NZ,2022-02-13 14:49:35,-46.1927,168.8643,46.47,99,31,2.1
40,Saskylakh,RU,2022-02-13 14:48:10,71.9167,114.0833,-14.67,84,30,3.87
41,Batagay,RU,2022-02-13 14:49:36,67.6333,134.6333,-17.03,94,99,2.84
42,Kavieng,PG,2022-02-13 14:49:36,-2.5744,150.7967,80.87,78,100,5.75
43,Hasanabad,IR,2022-02-13 14:49:36,36.5465,61.0543,53.82,58,0,0.0
44,Baykit,RU,2022-02-13 14:49:37,61.67,96.37,-13.31,100,80,3.49
45,Muli,MV,2022-02-13 14:49:37,2.9167,73.5667,82.18,76,97,13.62
46,Mayahi,NE,2022-02-13 14:50:42,13.9553,7.6712,90.9,6,84,8.08
47,Mahibadhoo,MV,2022-02-13 14:50:43,3.7833,72.9667,81.77,73,100,8.12
48,Coquimbo,CL,2022-02-13 14:46:22,-29.9533,-71.3436,65.93,72,75,3.44
49,Upernavik,GL,2022-02-13 14:50:43,72.7868,-56.1549,-2.78,95,100,10.25
50,Sechenovo,RU,2022-02-13 14:50:43,55.2244,45.8906,26.53,85,100,10.42
51,Medea,DZ,2022-02-13 14:50:44,36.2642,2.7539,52.25,49,52,7.94
52,Kahului,US,2022-02-13 14:50:17,20.8947,-156.47,71.62,85,75,6.91
53,Susanville,US,2022-02-13 14:50:44,40.4163,-120.653,26.44,93,0,3.44
54,Port Macquarie,AU,2022-02-13 14:50:45,-31.4333,152.9167,63.9,76,64,6.49
55,Padang,ID,2022-02-13 14:50:45,-0.9492,100.3543,78.67,82,98,2.53
56,Hilo,US,2022-02-13 14:50:45,19.7297,-155.09,67.24,93,75,6.91
57,Kabul,AF,2022-02-13 14:47:31,34.5,69.4167,35.62,59,100,4.56
58,Hithadhoo,MV,2022-02-13 14:50:46,-0.6,73.0833,82.38,75,100,11.34
59,Leningradskiy,RU,2022-02-13 14:50:46,69.3833,178.4167,-18.53,96,96,5.48
60,Tuktoyaktuk,CA,2022-02-13 14:50:46,69.4541,-133.0374,-34.6,67,0,5.75
61,Narsaq,GL,2022-02-13 14:50:47,60.9167,-46.05,24.71,94,100,11.05
62,Bulaevo,KZ,2022-02-13 14:50:47,54.9056,70.4439,-3.75,100,84,6.73
63,Kodiak,US,2022-02-13 14:50:47,57.79,-152.4072,29.71,86,0,5.75
64,Traverse City,US,2022-02-13 14:50:48,44.7631,-85.6206,10.62,59,75,5.01
65,Calama,CL,2022-02-13 14:47:23,-22.4667,-68.9333,63.09,25,0,4.61
66,Atuona,PF,2022-02-13 14:50:48,-9.8,-139.0333,77.45,77,26,12.93
67,Vaini,TO,2022-02-13 14:48:23,-21.2,-175.2,78.96,89,20,6.91
68,Khatanga,RU,2022-02-13 14:50:49,71.9667,102.5,-24.5,93,89,2.33
69,Port Alfred,ZA,2022-02-13 14:50:49,-33.5906,26.891,76.33,74,87,12.37
70,Mar Del Plata,AR,2022-02-13 14:48:28,-38.0023,-57.5575,65.88,71,75,11.99
71,Avarua,CK,2022-02-13 14:50:50,-21.2078,-159.775,73.45,100,100,1.14
72,Puerto Ayora,EC,2022-02-13 14:50:50,-0.7393,-90.3518,78.76,87,100,1.01
73,Niquero,CU,2022-02-13 14:50:50,20.0431,-77.5828,80.82,65,5,5.5
74,Chapais,CA,2022-02-13 14:47:45,49.7834,-74.8492,-27.62,90,94,3.11
75,Isiro,CD,2022-02-13 14:50:51,2.7739,27.616,96.1,18,61,3.62
76,High Level,CA,2022-02-13 14:50:51,58.5169,-117.136,-2.09,84,0,11.5
77,Jinchang,CN,2022-02-13 14:50:51,38.4953,102.1739,23.97,78,87,6.62
78,Sterling,US,2022-02-13 14:46:19,39.0062,-77.4286,33.69,91,100,13.0
79,Dubrovytsya,UA,2022-02-13 14:50:52,51.5744,26.565,33.71,66,78,9.01
80,Kuandian,CN,2022-02-13 14:50:52,40.7286,124.7847,25.86,56,100,2.89
81,Airai,TL,2022-02-13 14:47:52,-8.9266,125.4092,60.01,91,99,2.33
82,Faya,SA,2022-02-13 14:50:53,18.3851,42.4509,66.31,55,14,6.89
83,Cabo San Lucas,MX,2022-02-13 14:50:53,22.8909,-109.9124,68.5,58,100,1.61
84,Kapaa,US,2022-02-13 14:50:53,22.0752,-159.319,71.92,84,40,14.97
85,Sao Felix Do Xingu,BR,2022-02-13 14:47:55,-6.6447,-51.995,79.0,75,100,2.55
86,Saint-Georges,GD,2022-02-13 14:50:54,12.0564,-61.7485,83.88,61,20,24.16
87,Nanortalik,GL,2022-02-13 14:48:37,60.1432,-45.2371,28.76,80,100,13.29
88,Ulaanbaatar,MN,2022-02-13 14:48:38,47.9077,106.8832,-21.87,69,0,4.47
89,Huayang,CN,2022-02-13 14:51:59,34.4155,109.9939,29.3,73,35,4.0
90,Port Blair,IN,2022-02-13 14:51:01,11.6667,92.75,78.84,69,40,4.61
91,Cariati,IT,2022-02-13 14:52:00,39.4922,16.9594,61.27,65,28,4.34
92,Ludvika,SE,2022-02-13 14:52:00,60.1496,15.1878,39.33,90,100,15.82
93,Ossora,RU,2022-02-13 14:52:00,59.2353,163.0719,-9.76,83,58,8.08
94,Rawson,AR,2022-02-13 14:52:01,-43.3002,-65.1023,83.37,23,15,14.2
95,Baijiantan,CN,2022-02-13 14:52:01,45.6333,85.1833,12.29,92,92,5.88
96,Kashi,CN,2022-02-13 14:52:01,39.4547,75.9797,40.21,28,0,6.71
97,Tambura,SS,2022-02-13 14:52:02,5.6,27.4667,97.97,15,77,7.92
98,Bilibino,RU,2022-02-13 14:52:02,68.0546,166.4372,-32.28,100,95,2.17
99,Barrow,US,2022-02-13 14:52:02,71.2906,-156.7887,-29.18,100,0,9.22
100,Kailua,US,2022-02-13 14:52:02,21.4022,-157.7394,73.38,80,20,14.97
101,Guerrero Negro,MX,2022-02-13 14:52:03,27.9769,-114.0611,63.19,47,95,1.48
102,Lebu,CL,2022-02-13 14:52:03,-37.6167,-73.65,65.71,69,93,8.16
103,Lunsar,SL,2022-02-13 14:52:04,8.6833,-12.5333,99.9,19,43,4.29
104,Yerbogachen,RU,2022-02-13 14:52:04,61.2767,108.0108,-26.72,100,83,3.56
105,Vostok,RU,2022-02-13 14:52:04,46.4856,135.8833,-0.4,100,100,1.79
106,Mahebourg,MU,2022-02-13 14:52:04,-20.4081,57.7,82.69,78,40,6.91
107,Nikolskoye,RU,2022-02-13 14:52:05,59.7035,30.7861,34.88,87,100,12.46
108,Zonguldak,TR,2022-02-13 14:50:43,41.25,31.8333,40.42,88,100,3.02
109,Masakin,TN,2022-02-13 14:52:05,35.7292,10.5808,64.6,55,40,9.22
110,Malakal,SS,2022-02-13 14:52:06,9.5334,31.6605,95.49,13,69,9.35
111,Bluff,NZ,2022-02-13 14:52:06,-46.6,168.3333,46.8,85,19,4.43
112,San Juan,AR,2022-02-13 14:51:30,-31.5375,-68.5364,77.54,32,0,4.14
113,Longyearbyen,SJ,2022-02-13 14:52:06,78.2186,15.6401,13.84,85,75,4.61
114,Pandan,PH,2022-02-13 14:52:07,14.0453,124.1694,77.65,80,70,12.33
115,Shache,CN,2022-02-13 14:52:07,38.4167,77.2406,39.67,35,0,7.76
116,Praia Da Vitoria,PT,2022-02-13 14:52:07,38.7333,-27.0667,61.75,77,75,8.05
117,Kaitangata,NZ,2022-02-13 14:52:07,-46.2817,169.8464,52.93,86,34,3.78
118,Martapura,ID,2022-02-13 14:52:08,-3.4167,114.85,78.89,83,100,3.44
119,Camacha,PT,2022-02-13 14:52:08,33.0833,-16.3333,63.82,59,40,12.66
120,Pevek,RU,2022-02-13 14:52:08,69.7008,170.3133,-18.11,98,100,8.59
121,Thompson,CA,2022-02-13 14:47:50,55.7435,-97.8558,-12.84,84,100,2.3
122,Lagoa,PT,2022-02-13 14:52:09,39.05,-27.9833,57.85,64,98,8.57
123,Tatarskaya Kargala,RU,2022-02-13 14:52:09,51.9495,55.1731,23.05,94,59,6.69
124,Laguna,US,2022-02-13 14:52:09,38.421,-121.4238,62.42,90,0,3.44
125,Goma,CD,2022-02-13 14:52:10,-1.6792,29.2228,71.4,73,84,1.03
126,Mount Gambier,AU,2022-02-13 14:52:10,-37.8333,140.7667,64.31,82,100,8.05
127,Pisco,PE,2022-02-13 14:52:11,-13.7,-76.2167,71.65,68,0,10.36
128,Ahipara,NZ,2022-02-13 14:52:11,-35.1667,173.1667,62.29,69,8,8.41
129,Brownwood,US,2022-02-13 14:47:43,31.7093,-98.9912,42.55,74,0,0.0
130,Chuy,UY,2022-02-13 14:52:12,-33.6971,-53.4616,71.47,40,0,14.54
131,Dingle,PH,2022-02-13 14:52:12,10.9995,122.6711,75.51,90,100,7.31
132,Caohai,CN,2022-02-13 14:52:12,26.8661,104.2841,33.51,88,2,2.53
133,Rochegda,RU,2022-02-13 14:52:12,62.8,43.25,6.44,98,12,3.38
134,Caconda,AO,2022-02-13 14:52:13,-13.7333,15.0667,75.65,44,100,7.78
135,Warrington,GB,2022-02-13 14:52:13,53.3925,-2.5802,50.86,88,100,20.71
136,Ixtapa,MX,2022-02-13 14:53:18,20.7,-105.2,69.22,77,91,2.19
137,Jacqueville,CI,2022-02-13 14:53:19,5.2052,-4.4146,80.51,73,54,11.7
138,Verkhnyaya Inta,RU,2022-02-13 14:53:19,65.9811,60.3094,6.78,82,99,8.41
139,Teknaf,BD,2022-02-13 14:53:20,20.8624,92.3058,64.67,63,3,8.55
140,Fortuna,US,2022-02-13 14:50:15,40.5982,-124.1573,47.32,81,0,11.5
141,Awjilah,LY,2022-02-13 14:53:20,29.1081,21.2869,62.92,34,91,9.17
142,Nakamura,JP,2022-02-13 14:53:20,32.9833,132.9333,45.07,94,100,2.98
143,Isla Mujeres,MX,2022-02-13 14:53:21,21.2311,-86.731,73.45,85,23,16.8
144,Estancia,BR,2022-02-13 14:53:21,-11.2683,-37.4383,89.08,45,100,7.52
145,Sikonge,TZ,2022-02-13 14:53:21,-5.6333,32.7667,82.49,70,40,3.96
146,East London,ZA,2022-02-13 14:49:57,-33.0153,27.9116,77.94,78,20,13.8
147,Winnemucca,US,2022-02-13 14:53:22,40.973,-117.7357,40.5,43,0,3.2
148,Alexandria,EG,2022-02-13 14:49:29,31.2156,29.9553,63.14,59,40,8.05
149,Labuhan,ID,2022-02-13 14:53:22,-6.8844,112.2051,78.1,85,100,1.97
150,Krasnoselkup,RU,2022-02-13 14:53:23,65.7,82.4667,-2.07,89,6,13.24
151,Kendrapara,IN,2022-02-13 14:53:23,20.5042,86.416,70.21,48,4,5.66
152,Hamilton,US,2022-02-13 14:49:31,39.1834,-84.5333,21.61,67,100,8.05
153,Lethem,GY,2022-02-13 14:53:23,3.3803,-59.7968,89.56,48,62,11.97
154,Cidreira,BR,2022-02-13 14:53:24,-30.1811,-50.2056,77.88,73,80,9.44
155,Ozinki,RU,2022-02-13 14:53:24,51.1786,49.6769,18.09,90,17,15.52
156,Constitucion,CL,2022-02-13 14:53:24,-35.3333,-72.4167,67.69,71,5,11.03
